Region,age_group_name,sex_name,Nutrient,region_mean
East Africa,30 to 34,Female,Sugar,41.477001700161644
East Africa,30 to 34,Male,PUFA,1.6801594901814503
East Africa,30 to 34,Male,Sodium,2.1673636700473407
East Africa,30 to 34,Male,Sugar,33.7232711917218
East Africa,35 to 39,Female,PUFA,1.6256487062637586
East Africa,35 to 39,Female,Sodium,2.9095870154533054
East Africa,35 to 39,Female,Sugar,34.45060101218319
East Africa,35 to 39,Male,PUFA,1.7045328866642464
East Africa,35 to 39,Male,Sodium,2.4966007995882715
East Africa,35 to 39,Male,Sugar,27.620294535704666
East Africa,40 to 44,Female,PUFA,1.6468898598653503
East Africa,40 to 44,Female,Sodium,2.991400099181478
East Africa,40 to 44,Female,Sugar,28.76497441300406
East Africa,40 to 44,Male,PUFA,1.7287125029576569
East Africa,40 to 44,Male,Sodium,2.7495058935505234
East Africa,40 to 44,Male,Sugar,23.162773748706737
East Africa,45 to 49,Female,PUFA,1.6704937220332436
East Africa,45 to 49,Female,Sodium,3.2635707403754273
East Africa,45 to 49,Female,Sugar,24.981674380765487
East Africa,45 to 49,Male,PUFA,1.7529067234269908
East Africa,45 to 49,Male,Sodium,2.707874965990263
East Africa,45 to 49,Male,Sugar,20.088923296778145
East Africa,50 to 54,Female,PUFA,1.6926359265671767
East Africa,50 to 54,Female,Sodium,3.6307821452834848
East Africa,50 to 54,Female,Sugar,22.001517284597714
East Africa,50 to 54,Male,PUFA,1.7765637455729304
East Africa,50 to 54,Male,Sodium,2.5781789046202896
East Africa,50 to 54,Male,Sugar,17.849943909362644
East Africa,55 to 59,Female,PUFA,1.709020051546956
East Africa,55 to 59,Female,Sodium,3.826725243966745
East Africa,55 to 59,Female,Sugar,19.36652388320486
East Africa,55 to 59,Male,PUFA,1.7933673852991772
East Africa,55 to 59,Male,Sodium,3.007933271247981
East Africa,55 to 59,Male,Sugar,15.968911335465332
East Africa,60 to 64,Female,PUFA,1.7145291281406592
East Africa,60 to 64,Female,Sodium,4.116815802975515
East Africa,60 to 64,Female,Sugar,17.71331271400943
East Africa,60 to 64,Male,PUFA,1.7990923378529218
East Africa,60 to 64,Male,Sodium,3.769808521928354
East Africa,60 to 64,Male,Sugar,14.377242755829855
East Africa,65 to 69,Female,PUFA,1.7089188406938445
East Africa,65 to 69,Female,Sodium,4.119626824589416
East Africa,65 to 69,Female,Sugar,16.45731793685574
East Africa,65 to 69,Male,PUFA,1.794365459005907
East Africa,65 to 69,Male,Sodium,3.823389393733583
East Africa,65 to 69,Male,Sugar,13.389340543845874
East Africa,70 to 74,Female,PUFA,1.6935531700131514
East Africa,70 to 74,Female,Sodium,3.891130093874792
East Africa,70 to 74,Female,Sugar,15.456010680194364
East Africa,70 to 74,Male,PUFA,1.773220804515502
East Africa,70 to 74,Male,Sodium,3.6453424381656214
East Africa,70 to 74,Male,Sugar,12.667035827021357
East Africa,75 to 79,Female,PUFA,1.6781243849723713
East Africa,75 to 79,Female,Sodium,3.877839200391647
East Africa,75 to 79,Female,Sugar,14.57392998146518
East Africa,75 to 79,Male,PUFA,1.7592897560464342
East Africa,75 to 79,Male,Sodium,3.661926868162949
East Africa,75 to 79,Male,Sugar,11.789432716024507
East Africa,80 to 84,Female,PUFA,1.6434227191620752
East Africa,80 to 84,Female,Sodium,3.78001807926921
East Africa,80 to 84,Female,Sugar,13.288184210646193
East Africa,80 to 84,Male,PUFA,1.7240997720184876
East Africa,80 to 84,Male,Sodium,3.5967478486723556
East Africa,80 to 84,Male,Sugar,10.778106594036144
East Africa,85 to 89,Female,PUFA,1.5783987091901888
East Africa,85 to 89,Female,Sodium,3.7164761498987366
East Africa,85 to 89,Female,Sugar,13.327715974575423
East Africa,85 to 89,Male,PUFA,1.6583807003707467
East Africa,85 to 89,Male,Sodium,3.607239064185392
East Africa,85 to 89,Male,Sugar,10.858979611805202
East Africa,90 to 94,Female,PUFA,1.5832322766967615
East Africa,90 to 94,Female,Sodium,3.7059854261508978
East Africa,90 to 94,Female,Sugar,13.140497795840124
East Africa,90 to 94,Male,PUFA,1.6562162900725226
East Africa,90 to 94,Male,Sodium,3.6080161771304073
East Africa,90 to 94,Male,Sugar,10.839644266362273
East Africa,95 plus,Female,PUFA,1.5803577644988138
East Africa,95 plus,Female,Sodium,3.7103461233993698
East Africa,95 plus,Female,Sugar,13.175201885143702
East Africa,95 plus,Male,PUFA,1.6579888743172058
East Africa,95 plus,Male,Sodium,3.604257584265146
East Africa,95 plus,Male,Sugar,10.847530369129917
North Africa,25 to 29,Female,PUFA,2.9251736594206306
North Africa,25 to 29,Female,Sodium,2.337789063226142
North Africa,25 to 29,Female,Sugar,86.06408753609915
North Africa,25 to 29,Male,PUFA,3.071125391975484
North Africa,25 to 29,Male,Sodium,3.0850524731151303
North Africa,25 to 29,Male,Sugar,70.69809016354762
North Africa,30 to 34,Female,PUFA,2.9546317157252577
North Africa,30 to 34,Female,Sodium,2.6044769785366872
North Africa,30 to 34,Female,Sugar,73.79890425050029
North Africa,30 to 34,Male,PUFA,3.0993791927350074
North Africa,30 to 34,Male,Sodium,3.5692388595498055
North Africa,30 to 34,Male,Sugar,59.31156749113135
North Africa,35 to 39,Female,PUFA,2.99548433367839
North Africa,35 to 39,Female,Sodium,2.2284114101935066
North Africa,35 to 39,Female,Sugar,60.020303048003385
North Africa,35 to 39,Male,PUFA,3.1447166237028013
North Africa,35 to 39,Male,Sodium,3.1064389275068525
North Africa,35 to 39,Male,Sugar,47.757877926866854
North Africa,40 to 44,Female,PUFA,3.0411098522789564
North Africa,40 to 44,Female,Sodium,1.8664758132056465
North Africa,40 to 44,Female,Sugar,49.412819325354555
North Africa,40 to 44,Male,PUFA,3.193708560552711
North Africa,40 to 44,Male,Sodium,2.653693927150923
North Africa,40 to 44,Male,Sugar,40.816529094415344
North Africa,45 to 49,Female,PUFA,3.078872598863822
North Africa,45 to 49,Female,Sodium,1.854204644768988
North Africa,45 to 49,Female,Sugar,43.31125110309322
North Africa,45 to 49,Male,PUFA,3.235316001644093
North Africa,45 to 49,Male,Sodium,2.601299474273171
North Africa,45 to 49,Male,Sugar,34.94924228069359
North Africa,50 to 54,Female,PUFA,3.1236953284948474
North Africa,50 to 54,Female,Sodium,1.8025489186920272
North Africa,50 to 54,Female,Sugar,38.14436589704126
North Africa,50 to 54,Male,PUFA,3.2763740138335784
North Africa,50 to 54,Male,Sodium,2.4814596736744923
North Africa,50 to 54,Male,Sugar,31.0816415100651
North Africa,55 to 59,Female,PUFA,3.1514726128463244
North Africa,55 to 59,Female,Sodium,1.7652343392705174
North Africa,55 to 59,Female,Sugar,33.111507887720435
North Africa,55 to 59,Male,PUFA,3.306647248612495
North Africa,55 to 59,Male,Sodium,2.416155360983006
North Africa,55 to 59,Male,Sugar,27.295530201569797
North Africa,60 to 64,Female,PUFA,3.156184858427815
North Africa,60 to 64,Female,Sodium,1.886841880467661
North Africa,60 to 64,Female,Sugar,30.072764483065114
North Africa,60 to 64,Male,PUFA,3.318568462810715
North Africa,60 to 64,Male,Sodium,2.4871688225193544
North Africa,60 to 64,Male,Sugar,24.996725476579797
North Africa,65 to 69,Female,PUFA,3.155662836776863
North Africa,65 to 69,Female,Sodium,1.9554369605174133
North Africa,65 to 69,Female,Sugar,29.11716013817536
North Africa,65 to 69,Male,PUFA,3.307293741892432
North Africa,65 to 69,Male,Sodium,2.5291459633058295
North Africa,65 to 69,Male,Sugar,22.989897385627792
North Africa,70 to 74,Female,PUFA,3.1209099456863605
North Africa,70 to 74,Female,Sodium,1.9354918664281584
North Africa,70 to 74,Female,Sugar,26.73482787721065
North Africa,70 to 74,Male,PUFA,3.2777460873926336
North Africa,70 to 74,Male,Sodium,2.508639402370117
North Africa,70 to 74,Male,Sugar,21.80593186390386
