location_name,Fruit,Sodium,Vegetables,Healthy_Food,Zone
Algeria,189.09209505404553,2.2199961144002187,182.93600211225493,372.0280971663004,Better Zone
Angola,110.16552157272365,2.797892922032946,79.24874389909587,189.41426547181953,Better Zone
Benin,64.51137447169707,3.03706817557743,98.62571941050257,163.13709388219962,Overnutrition Risk
Botswana,36.92274199357681,2.6949602773098467,55.92143828095767,92.84418027453448,Undernutrition Focus
Burkina Faso,13.674378753884854,2.804376408303028,36.57271590875781,50.24709466264266,Undernutrition Focus
Burundi,206.0378661176966,3.325857987821586,35.86018697645541,241.89805309415203,Overnutrition Risk
Cabo Verde,85.44241727266117,2.8012521120034553,162.6163063519023,248.05872362456347,Better Zone
Cameroon,172.2143035365878,2.8044686767158513,134.66099971819247,306.8753032547803,Better Zone
Central African Republic,74.00615092189031,2.7933666896496123,13.652508993580707,87.65865991547102,Undernutrition Focus
Chad,26.561702691268508,2.8099090469405894,18.057626710801472,44.61932940206998,Danger Zone
Comoros,159.20498378521026,3.333591030339576,18.76128288823386,177.96626667344412,Overnutrition Risk
Congo,100.28100615255491,2.797696672725448,25.991331692591327,126.27233784514624,Undernutrition Focus
Democratic Republic of the Congo,71.65901818203675,2.1675730261557073,14.863380786529854,86.5223989685666,Undernutrition Focus
Djibouti,29.970363225696353,3.31572860577969,80.25536679729363,110.22573002298998,Danger Zone
Egypt,256.31533751939975,2.2416143692087513,426.0306938432781,682.3460313626779,Better Zone
Equatorial Guinea,184.224773744062,2.7968294994506313,48.72031107475764,232.94508481881962,Better Zone
Eritrea,78.68807148749109,3.345053775465768,33.26463583831045,111.95270732580153,Danger Zone
Eswatini,84.39064983718265,2.7007087347404934,34.8978708904171,119.28852072759975,Undernutrition Focus
Ethiopia,18.204589089281452,3.328363782440553,36.48141611054219,54.68600519982364,Danger Zone
Gabon,246.4652026569998,2.7926707541973634,52.67930988709562,299.1445125440954,Better Zone
Gambia,10.671161961017177,2.804462040939262,38.792107239029754,49.46326920004693,Undernutrition Focus
Ghana,241.90137017526467,3.293580001029673,83.93893137172721,325.8403015469919,Overnutrition Risk
Guinea,161.2671808907196,2.80515485716716,64.52317238216058,225.79035327288017,Better Zone
Guinea-Bissau,86.80788519407407,2.801953644046526,23.492972788082675,110.30085798215674,Undernutrition Focus
Kenya,99.38113848490872,2.7632066848095564,89.07153819294014,188.45267667784884,Better Zone
Lesotho,32.315526268258324,2.6998367523048614,38.71353053675849,71.02905680501681,Undernutrition Focus
Liberia,75.50496024442477,2.810567536188358,35.47919906350853,110.9841593079333,Danger Zone
Libya,176.6662388921746,2.202484122804284,190.24622413438806,366.91246302656265,Better Zone
Madagascar,77.66878456590803,3.3321323416115507,26.00037327241954,103.66915783832756,Danger Zone
Malawi,100.96262127055678,3.34136358100901,39.97444005093978,140.93706132149657,Danger Zone
Mali,72.62481329161034,2.809160456358429,47.28522084806798,119.91003413967832,Danger Zone
Mauritania,25.635121822479427,2.8092705132919256,38.3678512602533,64.00297308273272,Danger Zone
Mauritius,63.47267640440069,4.257849919713052,126.52193933632206,189.99461574072274,Overnutrition Risk
Morocco,248.6892869533896,2.197655352293934,235.9766640891666,484.66595104255623,Better Zone
Mozambique,46.25862249604194,3.352293250749376,31.827483600000026,78.08610609604196,Danger Zone
Namibia,44.58031237633383,2.6971771568178173,53.41534839314694,97.99566076948076,Undernutrition Focus
Niger,37.47531063834528,2.8081070777112624,106.41041738249729,143.88572802084258,Overnutrition Risk
Nigeria,108.27298574269042,2.6257208027496026,120.071667425466,228.3446531681564,Better Zone
North Africa and Middle East,240.568235025995,2.1699753010167226,298.6578631362075,539.2260981622024,Better Zone
Rwanda,521.3670083422394,3.3540228133184655,48.410549622179154,569.7775579644185,Overnutrition Risk
Sao Tome and Principe,221.44941732597508,2.8054789135890505,48.54837493938159,269.9977922653567,Overnutrition Risk
Senegal,49.6552968307561,2.8064628663988795,79.64665664544856,129.30195347620466,Danger Zone
Seychelles,133.02917459082835,3.5336975829543475,63.061864877196776,196.09103946802512,Overnutrition Risk
Sierra Leone,65.66176148804817,2.8086962848387307,60.25528370955271,125.91704519760088,Danger Zone
Somalia,37.802299172330514,3.3472033428620263,14.187865788957987,51.9901649612885,Danger Zone
South Africa,55.3020588225959,2.4629550112683867,84.77628826057244,140.07834708316835,Undernutrition Focus
South Sudan,89.72438252011052,3.331719347281054,52.16278425731965,141.88716677743017,Overnutrition Risk
Sub-Saharan Africa,97.919823628059,2.8920995161541247,68.19489160289459,166.1147152309536,Overnutrition Risk
Sudan,136.62181333655826,2.20580614170404,131.34522263743926,267.96703597399755,Better Zone
Togo,19.945144753214805,2.798379696685546,33.11584192173134,53.06098667494614,Undernutrition Focus
Tunisia,209.21406921827148,2.1796697144928068,278.13879812869493,487.3528673469664,Better Zone
Uganda,275.6443697830193,3.3466146996380766,37.150798072220795,312.79516785524004,Overnutrition Risk
Zambia,19.142137688817925,3.3348513866202,36.98684402870608,56.128981717524006,Danger Zone
Zimbabwe,23.15407057266158,3.0484017757761235,17.106642658470474,40.26071323113206,Danger Zone
